Food_id,Food,Measure,Grams,Calories,Protein,Fat,Carbs
132,Parsnips,1 cup,155,95,2,1,22
133,Peas,1 cup,100,66,3,,13
134,"Fresh, steamed peas",1 cup,100,70,5,,12
135,Frozen peas,1 cup,100,,5,,12
136,Split cooked peas,4 cups,100,115,8,,21
137,heated peas,1 cup,100,53,3,,10
138,Peppers canned,1 pod,38,10,,,2
139,"Peppers Raw, green, sweet",1 large,100,25,1,,6
140,Peppers with beef and crumbs,1 med.,150,255,19,9,24
141,"Potatoes, baked",1 med.,100,100,2,,22
142,French-fried,10 pieces,60,155,0,7,20
143,Potatoes Mashed with milk and butter,1 cup,200,230,4,12,28
144,"Potatoes, pan-tried",3/4 cup,100,268,4,14,33
145,Scalloped with cheese potatoes,3/4 cup,100,145,6,8,14
146,Steamed potatoes before peeling,1 med.,100,80,2,,19
147,Potato chips,10,20,110,1,7,10
148,Radishes,5 small,50,10,,0,2
149,Rutabagas,4 cups,100,32,,0,8
150,Soybeans,1 cup,200,260,22,11,20
151,Spinach,1 cup,100,26,3,,3
152,Squash,1 cup,210,35,1,,8
153,"Winter, mashed",1 cup,200,95,4,,23
154,Sweet potatoes,1 med.,110,155,2,1,36
155,Candied,1 med.,175,235,2,6,80
156,Tomatoes,1 cup,240,50,2,,9
157,"Raw, 2 by 2 1/2",1 med.,150,30,1,,6
158,Tomato juice,1 cup,240,50,2,,10
159,Tomato catsup,1 T.,17,15,,,4
160,Turnip greens,1 cup,145,45,4,1,8
161,"Turnips, steamed",1 cup,155,40,1,,9
162,"Watercress stems, raw",1 cup,50,9,1,,1
163,Apple juice canned,1 cup,250,125,,0,34
164,Apple vinegar,1/3 cup,100,14,,0,3
165,"Apples, raw",1 med,130,70,,,18
166,Stewed or canned,1 cup,240,100,,,26
167,Apricots,1 cup,250,220,2,,57
168,"Dried, uncooked",1/2 cup,75,220,4,,50
169,Fresh,3 med.,114,55,1,,14
170,"Nectar, or juice",1 cup,250,140,1,,36
171,Avocado,1/2 large,108,185,2,18,6
172,Banana,1 med.,150,85,1,,23
173,Blackberries,1 cup,144,85,2,1,19
174,Blueberries,1 cup,250,245,1,,65
175,Cantaloupe,1/2 med.,380,40,1,,9
176,Cherries,1 cup,257,100,2,1,26
177,"Fresh, raw",1 cup,114,65,1,,15
178,Cranberry sauce sweetened,1 cup,277,530,,,142
179,Dates,1 cup,178,505,4,,134
180,Figs,2,42,120,2,,30
181,"Fresh, raw figs",3 med.,114,90,2,,22
182,figs Canned with syrup ,3,115,130,1,,32
183,"Fruit cocktail, canned",1 cup,256,195,1,,50
184,Grapefruit sections,1 cup,250,170,1,,44
185,"Grapefruit, fresh, 5"" diameter",02-Jan,285,50,1,,14
186,Grapefruit juice,1 cup,250,100,1,,24
187,Grapes,1 cup,153,70,1,,16
188,"European, as Muscat, Tokay",1 cup,160,100,1,,26
189,Grape juice,1 cup,250,160,1,,42
190,Lemon juice,1/2 cup,125,30,,,10
191,Lemonade concentratefrozen,6-oz. can,220,430,,,112
192,Limeade concentrate frozen,6-oz. can,218,405,,,108
193,Olives large,10,65,72,1,10,3
194,OlivesRipe,10,65,105,1,,1
195,"Oranges 3"" diameter",1 med.,180,60,2,,16
196,Orange juice,8 oz. or,250,112,2,,25
197,Frozen ,6-oz. can,210,330,2,,78
198,Papaya,1/2 med.,200,75,1,,18
199,Peaches,1 cup,257,200,1,,52
200,"Fresh, raw",1 med.,114,35,1,,10
201,Pears,1 cup,255,195,1,,50
202,"Raw, 3 by 2V",1 med.,182,100,1,1,25
203,Persimmons,1 med.,125,75,1,,20
204,Pineapple,1 large slice,122,95,,,26
205,Pineapple Crushed,1 cup,260,205,1,,55
206,"Raw, diced",1 cup,140,75,1,,19
207,Pineapple juice,1 cup,250,120,1,,32
208,Plums,1 cup,256,185,1,,50
209,"Raw, 2"" diameter",1,60,30,,,7
210,Prunes,1 cup,270,300,3,1,81
211,Prune juice,1 cup,240,170,1,,45
212,Raisins,1/2 cup,88,230,2,,82
213,Raspberries,1/2 cup,100,100,,,25
214,"Raw, red",3/4 cup,100,57,,,14
215,Rhubarb sweetened,1 cup,270,385,1,,98
216,Strawberries,1 cup,227,242,1,,60
217,Raw,1 cup,149,54,,,12
218,Tangerines,I med.,114,40,1,,10
219,Watermelon,1 wedge,925,120,2,1,29
220,Biscuits,1,38,130,3,4,18
221,Bran flakes,1 cup,25,117,3,,32
222,"Bread, cracked wheat",1 slice,23,60,2,1,12
223,Rye,1 slice,23,55,2,1,12
224,"White, 20 slices, or",1-lb. loaf,454,990,39,15,229
225,Whole-wheat,1-lb. loaf,454,900,48,14,216
226,Whole-wheat,1 slice,23,55,2,1,11
227,Corn bread ground meal,1 serving,50,100,3,4,15
228,Cornflakes,1 cup,25,110,2,,25
